id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
230285,23,Maine,ME,Androscoggin County,Cape Elizabeth,Auburn city,Track,Track,4107,207,10187671,6123787,43.617979,-70.2230683,119928,107529,75763,615.554282119479
1602680,16,Idaho,ID,Ada County,Idaho Falls,Boise City city,Track,Track,83402,208,6101838,410367,43.5067215,-112.0449867,37283,27204,33047,662.444558186531
39029243,39,Ohio,OH,Adams County,Medina,Rome,Track,Track,44256,330,34288753,106553,41.1776954,-81.8225942,118111,100464,70993,234.244643499278
60214279,6,California,CA,Alameda County,Burbank,Alameda city,Track,Track,91502,818,1052158,0,34.1811419,-118.3067629,47878,35793,34513,791.24494520259
39021593,39,Ohio,OH,Adams County,Steubenville,Rome,Track,Track,43952,740,1165055,64623,40.3510994,-80.616947,21789,17950,20558,332.883865929634
48012500,48,Texas,TX,Brown County,Brownwood,Brownwood city,City,place,76801,325,38439124,66388,31.711932,-98.976123,48538,35617,45063,4644.10619095502
42027764,42,Pennsylvania,PA,Adams County,Saltsburg,Abbottstown,Track,Track,15681,724,90070978,159538,40.5646318,-79.3487786,55099,44435,39603,194.025090775294
1022116,1,Alabama,AL,Autauga County,Rainbow City,Autaugaville,Track,Track,35906,256,7358690,571695,33.9640619,-86.041835,50735,39380,40435,556.211756934633
26022761,26,Michigan,MI,Alcona County,Belleville,Hubbard Lake,Track,Track,48111,734,3067575,1729743,42.2145466,-83.5129886,56099,46368,46139,1041.62067749507
60210779,6,California,CA,Alameda County,Eureka,Alameda city,Track,Track,95501,707,3118704,585951,40.7846083,-124.1798708,85033,73345,55356,134.260498834777
12025890,12,Florida,FL,Alachua County,Port Charlotte,Gainesville city,Track,Track,33981,941,23135571,4431614,26.9510061,-82.2407712,53533,300000,42241,471.256348417737
51021494,51,Virginia,VA,Accomack County,Newport News,Chincoteague,Track,Track,23607,757,1569793,0,36.9841336,-76.4207637,32948,20754,34838,988.189863228695
22024389,22,Louisiana,LA,Acadia Parish,Gibson,Crowley city,Track,Track,70356,985,267478494,16927231,29.6315657,-90.9708791,33909,23623,30981,403.185285551046
8023190,8,Colorado,CO,Adams County,Colorado Springs,Brighton city,Track,Track,80922,719,6309450,0,38.8775704,-104.7004487,90146,300000,40538,480.963304537481
36026844,36,New York,NY,Albany County,Elmira,Albany city,Track,Track,14905,607,1493597,50755,42.0864045,-76.8251795,46504,33881,38299,330.115324930766
42029994,42,Pennsylvania,PA,Adams County,Sunbury,Abbottstown,Track,Track,17801,570,21244284,1741409,40.9649659,-76.600377,55260,45007,43619,386.139778143603
801969,8,Colorado,CO,Chaffee County,Salida,Salida city,City,place,81201,719,6699789,0,38.530283,-105.99878,55052,40649,44974,1703.40846217867
60218569,6,California,CA,Alameda County,Salinas,Alameda city,Track,Track,93906,831,2523220,0,36.6928867,-121.6498809,57221,45477,48102,631.865303334281
37011932,37,North Carolina,NC,Cumberland County,Stedman,Stedman,Town,place,28391,910,5388457,1049,35.013483,-78.700122,66487,54910,50891,266.020873742729
6027199,6,California,CA,Alameda County,Mountain View,Alameda city,Track,Track,94040,650,982161,0,37.3944485,-122.089659,106609,86465,77879,992.61361886089
13027473,13,Georgia,GA,Appling County,Washington,Baxley city,Track,Track,30673,706,209262159,930512,33.7629126,-82.6910911,47201,39524,35496,304.25866750833
48024748,48,Texas,TX,Anderson County,Austin,Elkhart,Track,Track,78750,512,20852688,0,30.3934971,-97.8025854,111073,83417,75634,997.559014915859
42021884,42,Pennsylvania,PA,Adams County,Wilkes Barre,Abbottstown,Track,Track,18705,570,360111,0,41.2493006,-75.8702766,38667,27027,34356,347.346075750292
420210404,42,Pennsylvania,PA,Adams County,Philadelphia,Abbottstown,Track,Track,19147,215,212379,0,39.9348217,-75.1629799,62920,42761,53742,548.148532697955
36011653,36,New York,NY,Monroe County,East Rochester,East Rochester,Village,place,14445,585,3431895,9379,43.11221,-77.487176,55308,46808,43831,1877.2558784994
3802404,38,North Dakota,ND,Adams County,Ellendale,Bucyrus city,Track,Track,58436,701,2450438817,24601324,46.1083789,-98.5755244,84668,79447,47433,89.526075674975
120213690,12,Florida,FL,Alachua County,Largo,Gainesville city,Track,Track,33774,727,1086896,258439,27.8861164,-82.8378879,59819,39348,53108,345.321526759024
34022125,34,New Jersey,NJ,Atlantic County,Egg Harbor Township,Absecon city,Track,Track,8234,609,30299755,779182,39.4337377,-74.5593035,52326,39653,43543,665.813000933057
27023923,27,Minnesota,MN,Aitkin County,Rochester,Aitkin city,Track,Track,55901,507,1700409,0,44.0568872,-92.4862329,62966,61681,40229,252.85026906068
17029709,17,Illinois,IL,Adams County,Highland Park,Camp Point,Track,Track,60035,224,2191714,1612676,42.1844808,-87.7854588,86588,56938,73796,253.421490292267
47025390,47,Tennessee,TN,Anderson County,Johnson City,Clinton city,Track,Track,37601,423,19027726,532809,36.3756463,-82.380743,48733,43048,36702,414.548209896318
360215044,36,New York,NY,Albany County,Schenevus,Albany city,Track,Track,12155,607,256710336,771762,42.5632159,-74.7870347,54367,53371,37948,336.784088108712
37022664,37,North Carolina,NC,Alamance County,Candler,Alamance,Track,Track,28715,828,30541658,0,35.5676485,-82.7256721,34003,29007,26802,495.823034059983
22024529,22,Louisiana,LA,Acadia Parish,Bogalusa,Crowley city,Track,Track,70427,985,4486856,77121,30.7753782,-89.8616597,20110,15312,16684,529.971350849871
42026574,42,Pennsylvania,PA,Adams County,Harrisburg,Abbottstown,Track,Track,17104,717,825210,0,40.2615585,-76.8573167,37601,22900,34229,401.578836935688
39021923,39,Ohio,OH,Adams County,Holland,Rome,Track,Track,43528,419,8985020,0,41.609065,-83.7037509,73808,59202,56456,1714.21414265272
