id,title,url,price
1035472,Python for Finance: Investment Fundamentals & Data Analytics,/course/python-for-finance-investment-fundamentals-data-analytics/,$159.99
577248,Python for Beginners with Examples,/course/ardit-sulce-python-for-beginners/,$84.99
3262348,Learn Python From Scratch - Basic to Advance,/course/learn-python-from-scratch-basic-to-advance/,$19.99
1527300,Learn Python & Ethical Hacking From Scratch,/course/learn-python-and-ethical-hacking-from-scratch/,$174.99
2769460,Python for Machine Learning & Data Science Masterclass,/course/python-for-machine-learning-data-science-masterclass/,$129.99
1933808,Python OOP - Object Oriented Programming for Beginners,/course/python-object-oriented-programming-oop/,$89.99
397068,Selenium Webdriver with PYTHON from Scratch + Frameworks,/course/learn-selenium-automation-in-easy-python-language/,$174.99
5434672,Python for Beginners: Learn Python with Hands-on Projects,/course/python-for-beginners-hands-on/,$79.99
913448,Python A-Z™: Python For Data Science With Real Exercises!,/course/python-coding/,$109.99
671576,"Machine Learning, Data Science and Generative AI with Python",/course/data-science-and-machine-learning-with-python-hands-on/,$129.99
3579349,Python Automation Testing With Pytest,/course/python-automation-pytest/,$79.99
3931694,Advanced Python: Python packaging. Pip install your scripts!,/course/python-packaging/,$49.99
3493396,2024 Complete Python Bootcamp from Zero to Hero in Python,/course/python-programming-for-beginners-m/,$59.99
5622652,Master Python for Data Handling [2024],/course/master-python-for-data-handling/,$19.99
1343594,Complete Python 3 Programming Bootcamp: Beginner to Advanced,/course/complete-python-programming-course-beginner-to-advanced/,$84.99
1793080,Python for Beginners,/course/python-tutorials-for-by-navinreddy/,$79.99
3820098,Learn Parallel Computing in Python,/course/parallel-computing-in-python/,$64.99
1546884,Python and Flask Bootcamp: Create Websites using Flask!,/course/python-and-flask-bootcamp-create-websites-using-flask/,$94.99
4385492,"300+ Python Exercises (Simple, Intermediate & Complex)",/course/300-python-exercises-simple-and-complex-with-algorithm/,$59.99
3439724,Master Python programming by solving scientific projects,/course/python-scientific-x/,$109.99
932344,Data Analysis with Pandas and Python,/course/data-analysis-with-pandas/,$124.99
1034284,Master Python by Coding 100 Practical Problems,/course/python-video-workbook/,$99.99
5515110,"Python - Complete Python, Django, Data Science and ML Guide",/course/python-complete-guide/,$84.99
3044474,The Complete Python Developer Certification Course,/course/the-complete-python-developer-certification-course/,$109.99
1982382,Python for Computer Vision with OpenCV and Deep Learning,/course/python-for-computer-vision-with-opencv-and-deep-learning/,$99.99
970600,REST APIs with Flask and Python in 2024,/course/rest-api-flask-and-python/,$129.99
4316674,"Data Analyst Skillpath: Zero to Hero in Excel, SQL & Python",/course/data-analyst-skillpath-zero-to-hero-in-excel-sql-python/,$99.99
4221858,A deep understanding of deep learning (with Python intro),/course/deeplearning_x/,$119.99
2095410,"Python + SQL + Tableau: Integrating Python, SQL, and Tableau",/course/python-sql-tableau-integrating-python-sql-and-tableau/,$129.99
3471238,Python Developer | Complete course 2023,/course/python-developer-complete-course/,$79.99
3043390,Python For Beginners - Python Bootcamp - Python Programming,/course/python-for-those-absolute-beginners-who-never-programmed/,$69.99
822444,Python and Django Full Stack Web Developer Bootcamp,/course/python-and-django-full-stack-web-developer-bootcamp/,$149.99
4253034,2024 Python Bootcamp | Learn Python Programming Masterclass,/course/learn-python-programming-with-jafricode-tutorials/,$64.99
1554180,Python Network Programming for Network Engineers (Python 3),/course/python-network-programming-for-network-engineers-python-3/,$109.99
394676,Learn Python: The Complete Python Programming Course,/course/pythonforbeginners/,$99.99
1337374,Complete Python 3 Masterclass Journey,/course/complete-python-3-masterclass-journey/,$84.99
5517074,Python Data Science: Regression & Forecasting,/course/data-science-in-python-regression/,$19.99
4929652,Python AI - Simply Explained Hands-On,/course/python-the-ultimate-course-2023-everything-youll-ever-need/,$84.99
1151632,"Deep Learning A-Z 2024: Neural Networks, AI & ChatGPT Prize",/course/deeplearning/,$129.99
2648040,The Complete Data Structures and Algorithms Course in Python,/course/data-structures-and-algorithms-bootcamp-in-python/,$109.99
3570337,The Data Analyst Course: Complete Data Analyst Bootcamp,/course/the-data-analyst-course-complete-data-analyst-bootcamp/,$149.99
3077122,Learn Python Programming From A-Z: Beginner To Expert Course,/course/learn-python-programming-from-a-z/,$64.99
6171961,The 10-Day Python Bootcamp for Engineers and Scientists 2024,/course/python-for-engineers-scientists-and-analysts/,$49.99
5930252,Python Data Science: Unsupervised Machine Learning,/course/data-science-in-python-unsupervised-learning/,$84.99
4294434,Machine Learning: Natural Language Processing in Python (V2),/course/natural-language-processing-in-python/,$94.99
980798,Spark and Python for Big Data with PySpark,/course/spark-and-python-for-big-data-with-pyspark/,$174.99
4013524,Master Time Series Analysis and Forecasting with Python 2025,/course/forecasting-python/,$79.99
405456,Build 10 Network Applications with Python,/course/python-programming-for-real-life-networking-use/,$19.99
3615822,Learn Streamlit Python,/course/learn-streamlit-python/,$64.99
3570649,Python Best Practices: Learn to Write Clean Python Code,/course/python-best-practices-write-clean-python-code/,$64.99
3232237,Python for Excel: Use xlwings for Data Science and Finance,/course/python-for-excel-xlwings-for-data-science-and-finance/,$89.99
1856076,The Complete Pandas Bootcamp 2025: Data Science with Python,/course/the-pandas-bootcamp/,$109.99
5740958,Python Data Science: Classification Modeling,/course/data-science-in-python-classification/,$84.99
4202866,"Web Scraping in Python Selenium, Scrapy + ChatGPT Prize 2024",/course/web-scraping-course-in-python-bs4-selenium-and-scrapy/,$99.99
5016394,Python Programming Mastery: From Beginner to Expert,/course/python-programming-mastery-from-beginner-to-expert/,$19.99
918390,Natural Language Processing with Deep Learning in Python,/course/natural-language-processing-with-deep-learning-in-python/,$69.99
5841794,Master Pandas and Python for Data Handling [2024],/course/master-pandas-and-python-for-data-handling/,$84.99
1772174,Python for Beginners - Go from Java to Python in 100 Steps,/course/learn-python-programming-for-java-programmers/,$74.99
4900010,[2025] Complete Python Bootcamp From Zero to Hero in Python,/course/complete-python-bootcamp-from-zero-to-hero-in-python/,$84.99
1198640,Python OOP : Four Pillars of OOP in Python 3 for Beginners,/course/python-oops-beginners/,$84.99
2831952,The Ultimate Pandas Bootcamp: Advanced Python Data Analysis,/course/the-ultimate-pandas-bootcamp-advanced-python-data-analysis/,$99.99
3591484,Excel Automation Using Python,/course/excel-automation-using-python/,$79.99
5571740,Math 0-1: Matrix Calculus in Data Science & Machine Learning,/course/matrix-calculus-machine-learning/,$74.99
1909942,Master Network Automation with Python for Network Engineers,/course/master-python-network-automation-for-network-engineers/,$109.99
2235470,Python for Time Series Data Analysis,/course/python-for-time-series-data-analysis/,$119.99
2045310,Build a Backend REST API with Python & Django - Advanced,/course/django-python-advanced/,$149.99
